area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.5033138741939073,-0.5537344553852013
V2,24c+32,"38,28",-0.5471070071152404,-0.6142430700633559
V4,24c+32,"38,28",-0.6563499434648219,-0.7863738845282824
1,24c+32,"38,28",0.19495748072350974,0.19748539387369263
3,24c+32,"38,28",-0.6544238646556212,-0.7829975637242454
MT,24c+32,"38,28",-0.5192736842008747,-0.5753447710751464
V6,24c+32,"38,28",-0.5629171836262249,-0.6370933276002111
DP,24c+32,"38,28",-0.28245295479326293,-0.2903456901165206
TEO,24c+32,"38,28",-0.5148089664905849,-0.5692509591784382
8m,24c+32,"38,28",-0.5370666819900144,-0.600024052484441
F4,24c+32,"38,28",-0.3735928522159729,-0.39259227518875683
5,24c+32,"38,28",0.14864956090298487,0.14975919791688727
2,24c+32,"38,28",-0.7870767186728912,-1.0637022632592024
8l,24c+32,"38,28",-0.525187853778826,-0.5834768100447009
F1,24c+32,"38,28",0.10321164223205541,0.10358049493424927
STPc,24c+32,"38,28",-0.4464327979727461,-0.4802362536574718
7A,24c+32,"38,28",-0.08180832023283917,-0.0819915600973845
10,24c+32,"38,28",0.22458376230708785,0.22847815664782936
F3,24c+32,"38,28",0.204962782414913,0.20790751567702295
TEpd,24c+32,"38,28",-0.5094988341927079,-0.5620526605285916
46d,24c+32,"38,28",-0.33920635918300496,-0.35319542475915944
9/46v,24c+32,"38,28",-0.5925073342260974,-0.681521029248556
PBr,24c+32,"38,28",-0.31501297940438894,-0.3261009623927734
9/46d,24c+32,"38,28",-0.5915300919683464,-0.6800164537172431
F5,24c+32,"38,28",-0.27011956851910296,-0.27699279761306467
7m,24c+32,"38,28",-0.45836858123523766,-0.49524397444633844
25,24c+32,"38,28",0.9570821711637968,1.9099613123289985
LIP,24c+32,"38,28",-0.11359651147671264,-0.11408895266387882
32,24c+32,"38,28",0.9639262086708255,1.9985671582694193
STPi,24c+32,"38,28",-0.05580920434246201,-0.055867255234405375
9,24c+32,"38,28",-0.11744073437310579,-0.11798517394652909
45A,24c+32,"38,28",-0.5736043700868899,-0.652878210097712
8B,24c+32,"38,28",-0.18122296286062695,-0.18324689054893673
7B,24c+32,"38,28",-0.353135100538039,-0.36902100689517375
F2,24c+32,"38,28",0.5127476562752254,0.5664503838519152
F7,24c+32,"38,28",-0.4059355820807392,-0.43073524685978715
ProM,24c+32,"38,28",-0.6090712563831735,-0.7074435650767941
STPr,24c+32,"38,28",0.5552390740902027,0.6259238327697586
24c,24c+32,"38,28",0.9175793073753912,1.5734911813452854
OPRO,24c+32,"38,28",-0.6853599141335868,-0.8391525089213041
