area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,valid
V1,24c+32,"38,28",0.025256610471151554,0.025261982894264696,0.015773,True
V2,24c+32,"38,28",-0.147597137764793,-0.14868316596273454,0.039852,True
V4,24c+32,"38,28",0.41265273569564836,0.43880417603706884,0.01233,True
1,24c+32,"38,28",-0.223874701042659,-0.22773155726291278,-0.127009,True
3,24c+32,"38,28",-0.31437775307370175,-0.3253959127215113,-0.000506,True
MT,24c+32,"38,28",-0.04665451579500309,-0.04668841015980416,0.03625,True
V6,24c+32,"38,28",0.38628167114955747,0.40742215497514545,0.217226,True
DP,24c+32,"38,28",-0.2798202768270604,-0.28748707097363635,-0.259572,True
TEO,24c+32,"38,28",0.3930630173448714,0.41541762168510454,0.072362,True
8m,24c+32,"38,28",0.7056168504353917,0.8783999823579977,0.165189,True
F4,24c+32,"38,28",-0.07461228411562212,-0.07475120378356657,0.135711,True
5,24c+32,"38,28",-0.05115428097746064,-0.0511989706637749,-0.164674,True
2,24c+32,"38,28",0.09421481355905119,0.0944950714609766,-0.059867,True
8l,24c+32,"38,28",-0.09326958819458812,-0.09354146612049093,0.064032,True
F1,24c+32,"38,28",-0.026059507310964347,-0.026065408701472496,0.014027,True
STPc,24c+32,"38,28",0.38742277601230374,0.40876408634611716,0.021164,True
7A,24c+32,"38,28",-0.48156284080674827,-0.5250169800583553,-0.022945,True
10,24c+32,"38,28",-0.14814184255033308,-0.1492400471862497,-0.259452,True
F3,24c+32,"38,28",0.33580779014910517,0.34935994692158584,0.073127,True
TEpd,24c+32,"38,28",0.25928334305401607,0.26533994494859603,0.111161,True
46d,24c+32,"38,28",0.28777336593254654,0.2961368830085761,0.036685,True
9/46v,24c+32,"38,28",0.3072809349571122,0.31754005474356434,0.097202,True
PBr,24c+32,"38,28",0.5041905432932831,0.5549092472267464,0.00353,True
9/46d,24c+32,"38,28",0.23684844045682305,0.24143259755232377,0.079916,True
F5,24c+32,"38,28",0.5432174248603805,0.6087086203932608,0.149549,True
7m,24c+32,"38,28",0.6194550277153179,0.724120303033476,0.047937,True
25,24c+32,"38,28",0.8542328385167506,1.2716078805167896,0.142877,True
LIP,24c+32,"38,28",-0.23295775431378624,-0.2373146805430754,0.037658,True
32,24c+32,"38,28",0.937985919850253,1.7210215343368653,0.704386,False
STPi,24c+32,"38,28",0.5638620916385285,0.6384776217993976,0.059489,True
9,24c+32,"38,28",0.5918972029903722,0.6805813486046974,0.145686,True
45A,24c+32,"38,28",0.2986766819557521,0.3080660416552308,-0.163953,True
8B,24c+32,"38,28",0.1694317692535675,0.17108158030349604,0.060359,True
7B,24c+32,"38,28",0.20461185365594114,0.20754122549241671,-0.018539,True
F2,24c+32,"38,28",-0.028895879785882525,-0.028903926232981433,-0.00053,True
F7,24c+32,"38,28",0.273014051001779,0.2801177431162817,-0.103096,True
ProM,24c+32,"38,28",-0.5024503201958238,-0.5525785952926253,-0.007453,True
STPr,24c+32,"38,28",0.005796137915946172,0.0057962028247538705,0.079456,True
24c,24c+32,"38,28",0.5611849445884843,0.6345611767712511,0.998232,False
OPRO,24c+32,"38,28",-0.653604601840461,-0.781565949722437,-0.01692,True
