area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",-0.2277071169132687,-0.23176985790196594
V2,24c+32,"38,28",0.20076854794241572,0.20353325320178614
V4,24c+32,"38,28",-0.39297751849394724,-0.41531650364261874
1,24c+32,"38,28",0.03160877174361566,0.031619304985562854
3,24c+32,"38,28",-0.5918753543683729,-0.6805477182989856
MT,24c+32,"38,28",0.16269953949882357,0.16415839520942713
V6,24c+32,"38,28",-0.11153227562874278,-0.11199822496265499
DP,24c+32,"38,28",-0.5117403238143312,-0.5650847054119063
TEO,24c+32,"38,28",-0.3857163337705595,-0.4067578374190687
8m,24c+32,"38,28",-0.09570165893100636,-0.09599544609746812
F4,24c+32,"38,28",-0.13556837479815553,-0.13640818252535505
5,24c+32,"38,28",-0.7128108255383261,-0.8928749572727158
2,24c+32,"38,28",-0.19031741099834198,-0.19266648851660334
8l,24c+32,"38,28",-0.024443046312533894,-0.024447915992949414
F1,24c+32,"38,28",-0.5071927132033164,-0.5589429352615399
STPc,24c+32,"38,28",-0.1442883074343878,-0.145302322759039
7A,24c+32,"38,28",-0.002834702692645074,-0.0028347102854700307
10,24c+32,"38,28",0.24159941219306896,0.2464719749997374
F3,24c+32,"38,28",0.26198803386240765,0.2682417612123073
TEpd,24c+32,"38,28",-0.28704628536505156,-0.29534433438371904
46d,24c+32,"38,28",0.15243476514913487,0.15363218039682577
9/46v,24c+32,"38,28",0.14920299559808448,0.15032518569116535
PBr,24c+32,"38,28",-0.4112288620539346,-0.4370892946999389
9/46d,24c+32,"38,28",0.152365146735041,0.15356090659545255
F5,24c+32,"38,28",-0.3564746567405832,-0.3728415196844426
7m,24c+32,"38,28",0.18042825226601783,0.18242531614732677
25,24c+32,"38,28",-0.32283826971822055,-0.33481238728096113
LIP,24c+32,"38,28",0.7742027669663829,1.0307345290301864
32,24c+32,"38,28",0.928845101648297,1.6499087711374885
STPi,24c+32,"38,28",-0.30653290820810813,-0.31671424321762565
9,24c+32,"38,28",0.21812312763638836,0.2216846286230415
45A,24c+32,"38,28",0.031880833968219176,0.03189164165436734
8B,24c+32,"38,28",0.2821430251537211,0.29000892275666024
7B,24c+32,"38,28",0.03811513907898403,0.03813361261604317
F2,24c+32,"38,28",-0.6297374241092677,-0.7409808864029981
F7,24c+32,"38,28",0.551800959844892,0.6209670125932305
ProM,24c+32,"38,28",-0.5049567804941683,-0.5559371943004018
STPr,24c+32,"38,28",-0.42649457332877627,-0.45560398378109884
24c,24c+32,"38,28",0.9640595248074472,2.0
OPRO,24c+32,"38,28",-0.3112191621401198,-0.32189475419829267
